Timestamp;DI-001;DI-002;DI-003;DI-004;DI-005;DI-006;DI-007;DI-008;DI-009;DI-010;DI-011;DI-012;Hum.;Pres.;Temp.
2025-11-05 11:00:00;12632.142857142857;24681.53846153846;12752.692307692309;24675;11883.2;24647;11246.916666666666;24668.916666666668;2817;24620;12412;24645.545454545456;48.04545454545455;1013.3127272727273;26.24090909090909
2025-11-05 13:00:00;12631.285714285714;24681.5;12753;24675.88888888889;11883.5;24646.636363636364;11247.555555555555;24668.11111111111;2817;24619.727272727272;12414;24646;39.0875;1013.05125;30.934999999999995
2025-11-05 15:00:00;12631.5;24681.75;12753.285714285714;24675.727272727272;11883.857142857143;24648.14285714286;11248.083333333334;24668.916666666668;2817;24620.5;12414.2;24645.727272727272;31.714285714285715;1012.1771428571428;34.71
2025-11-05 17:00:00;12632.818181818182;24681.846153846152;12753.25;24676.14285714286;11882.333333333334;24647.64285714286;11248.125;24668.071428571428;2817;24621.285714285714;12410.57142857143;24645.916666666668;27.15555555555556;1011.6633333333333;36.440000000000005
2025-11-05 19:00:00;12632.181818181818;24682.333333333332;12751.714285714286;24676.7;11879.818181818182;24647;11247;24669;2817;24621.625;12409.4;24646;27.22307692307692;1011.9807692307693;31.90615384615385
2025-11-05 21:00:00;12632.727272727272;24681.35714285714;12750.125;24676.75;11878.444444444445;24647;11246.818181818182;24669;2817;24620.3;12408;24645.8;30.65;1013.0020000000001;27.821000000000005
2025-11-05 23:00:00;12633.285714285714;24681.285714285714;12750.307692307691;24675.714285714286;11878.181818181818;24648;11246.285714285714;24668.88888888889;2817;24621;12407.57142857143;24645.8;32.73125;1013.7843750000001;24.960624999999993
2025-11-06 01:00:00;12632.333333333334;24681.714285714286;12749.833333333334;24675.5;11878.1;24648.23076923077;11246.875;24668.6;2817;24621;12407.5;24646;34.99230769230769;1013.6630769230768;22.77846153846154
2025-11-06 03:00:00;12632;24681.666666666668;12749.1;24675.2;11878.4375;24647;11246.666666666666;24669.363636363636;2817;24620.454545454544;12407.363636363636;24645.923076923078;37.699999999999996;1013.2708333333331;20.786666666666665
2025-11-06 05:00:00;12631.5;24681;12750.545454545454;24675.18181818182;11879.111111111111;24647;11246.222222222223;24669;2817;24620;12407.4;24646;40.800000000000004;1012.6644444444444;19.247777777777777
2025-11-06 07:00:00;12632.470588235294;24681;12750.70588235294;24675.8;11879.272727272728;24647.666666666668;11246.76923076923;24668.75;2817;24620;12408.181818181818;24646;43.77692307692307;1012.7846153846154;18.992307692307694
2025-11-06 09:00:00;12632.142857142857;24681.4;12752.555555555555;24675.75;11882.25;24648;11246.888888888889;24668;2817;24621;12412.222222222223;24647;42.388888888888886;1012.318888888889;22.128888888888884
2025-11-06 11:00:00;12631.90909090909;24681;12754.125;24675.5;11885;24647;11247.2;24668;2817;24620.545454545456;12414.57142857143;24646.636363636364;36.06250000000001;1011.9225000000001;27.543750000000003
2025-11-06 13:00:00;12632;24682;12754.727272727272;24676.375;11884.777777777777;24647.666666666668;11248;24668.666666666668;2817;24619.571428571428;12415.25;24645.75;29.833333333333332;1009.98;31.506666666666675
2025-11-06 15:00:00;12632.23076923077;24681.125;12753.636363636364;24676.272727272728;11884.375;24647.846153846152;11248.5;24669.666666666668;2817;24620.727272727272;12414.818181818182;24646;25.15;1007.7579999999998;34.602000000000004
2025-11-06 17:00:00;12632.454545454546;24681.6;12752.714285714286;24676.375;11881.666666666666;24647.3;11248.57142857143;24670.153846153848;2817;24621.222222222223;12412.5;24646;24.557142857142857;1005.8842857142856;33.05285714285714
2025-11-06 19:00:00;12632.714285714286;24682.333333333332;12751.333333333334;24677;11880.375;24647.363636363636;11247.25;24668.882352941175;2817;24621;12409.2;24646.214285714286;27.636363636363637;1004.6909090909089;29.94363636363636
2025-11-06 21:00:00;12633;24682;12749.454545454546;24677;11878.333333333334;24648.25;11246.5;24670;2817;24620.272727272728;12408.5;24646;31.13636363636364;1004.1627272727272;27.334545454545456
2025-11-06 23:00:00;12632.363636363636;24681.75;12749.8;24676.7;11877;24648.083333333332;11247;24668.53846153846;2817;24621;12408;24646;32.36;1004.609;25.638000000000005
2025-11-07 01:00:00;12632;24681.555555555555;12749;24676;11877.285714285714;24648.1;11246.272727272728;24668.3;2817;24621;12408;24646;35.71818181818182;1003.9209090909092;23.756363636363634
2025-11-07 03:00:00;12631.545454545454;24682;12750.1;24675;11878;24647.4;11247.09090909091;24669;2817;24621;12408;24646;38.825;1002.3050000000002;22.67
2025-11-07 05:00:00;12631.5625;24681.64285714286;12750;24675.571428571428;11879;24647;11246.8;24669.666666666668;2817;24620.533333333333;12407.555555555555;24646;44.15384615384615;1000.8461538461538;20.88923076923077
2025-11-07 07:00:00;12632.0625;24681;12750.714285714286;24675.5625;11879.6;24647;11246;24668.714285714286;2817;24620;12408;24645.166666666668;48.09999999999998;1003.2164999999999;19.377499999999998
2025-11-07 09:00:00;12632;24681;12751.25;24675.666666666668;11878.555555555555;24647.25;11246.857142857143;24668;2817;24620;12408;24645;51.98333333333334;1002.1266666666667;18.368333333333336
2025-11-07 11:00:00;12632;24681;12751;24676;11879;24648;11247;24668;2817;24620;12408;24645;54.82857142857142;1001.2671428571429;18.321428571428573
2025-11-07 13:00:00;12632;;12752;24676;11881;24648;11247;24668;2817;24620.5;12409;;55.7;1000.9075;21.2025
2025-11-07 15:00:00;12631.666666666666;24681.625;12752;24675.666666666668;11880.375;24648;11246.25;24668.444444444445;2817;24620;12409.333333333334;24646;55.65833333333333;1001.065;20.797500000000003
2025-11-07 17:00:00;12632;24682;12751.5;24676;11879.857142857143;24647.571428571428;11246;24669;2817;24620;12409;24645.75;56.600000000000016;1002.0445454545454;20.00909090909091
2025-11-07 19:00:00;12632;24681.8125;12751.083333333334;24676;11879.272727272728;24648;11246.454545454546;24669;2817;24620;12408.555555555555;24645;57.77142857142858;1003.475;19.192857142857143
2025-11-07 21:00:00;12632.375;24681;12751;24676;11879;24648;11246.42857142857;24669;2817;24620.5;12408;24645.647058823528;60.08333333333332;1005.0058333333335;18.13416666666667
2025-11-07 23:00:00;12632.058823529413;24681;12751.8;24676;11880;24648;11246.833333333334;24668.85714285714;2817;24620.166666666668;12408;24645.555555555555;60.27272727272727;1006.4290909090909;17.42909090909091
2025-11-08 01:00:00;12632;24681;12752;24676;11880;24648;11246.272727272728;24668.88888888889;2817;24620.444444444445;12408;24645.846153846152;60.57272727272728;1006.5400000000002;17.116363636363637
2025-11-08 03:00:00;12632;24681;12752;24676;11880;24648;11246;24668.7;2817;24621;12408;24645.583333333332;60.866666666666674;1007.8125;16.837500000000002
2025-11-08 05:00:00;12632.222222222223;24681;12752;24676;11880;24648;11246;24669;2817;24621;12408;24645.714285714286;61.02222222222221;1008.7533333333332;16.27444444444444
2025-11-08 07:00:00;12633;24681.153846153848;12752.285714285714;24676;11880.222222222223;24647.5;11246;24669;2817;24621;12408;24646;61.23333333333334;1010.1216666666666;16.396666666666665
2025-11-08 09:00:00;12632.166666666666;24681.25;12753.214285714286;24675.333333333332;11882.181818181818;24647.714285714286;11246.111111111111;24668.333333333332;2817;24620.909090909092;12409.4;24645.9;59.82727272727272;1011.4854545454546;18.97727272727273
2025-11-08 11:00:00;12631.2;24681;12754.857142857143;24675;11884.25;24648.2;11246.75;24668;2817;24620.125;12413.25;24646;51.788888888888884;1011.5366666666666;23.869999999999997
2025-11-08 13:00:00;12632.454545454546;24681;12754.714285714286;24675;11884;24647;11247;24668.416666666668;2817;24620.333333333332;12413.923076923076;24646;46.60833333333333;1011.4208333333335;25.915833333333335
2025-11-08 15:00:00;12631.545454545454;24680.53846153846;12753.833333333334;24676;11882.916666666666;24647;11247.066666666668;24668.23076923077;2817;24620;12413.133333333333;24645.9375;41.50714285714286;1010.7235714285714;27.629285714285718
2025-11-08 17:00:00;12632;24681.176470588234;12753.09090909091;24676;11881.454545454546;24647;11247;24668;2817;24619.285714285714;12412.1;24646;40.449999999999996;1010.3989999999998;26.778000000000002
2025-11-08 19:00:00;12632.75;24680.6;12751.642857142857;24676;11880.166666666666;24647;11247;24668;2817;24619.53846153846;12409.785714285714;24645.69230769231;42.164285714285704;1010.7014285714286;25.567142857142862
2025-11-08 21:00:00;12633.166666666666;24681.1;12751.272727272728;24675.909090909092;11879.6;24647;11247;24668.69230769231;2817;24620.416666666668;12408.181818181818;24646;45.788888888888884;1011.9077777777779;23.856666666666666
2025-11-08 23:00:00;12632.4;24681.64285714286;12750.625;24675.88888888889;11879.42857142857;24646.090909090908;11246.333333333334;24669;2817;24620.923076923078;12407.727272727272;24645.583333333332;49.61538461538461;1012.7438461538459;21.63923076923077
2025-11-09 01:00:00;12632.166666666666;24682;12749.833333333334;24676;11879.153846153846;24646.11111111111;11246.2;24669;2817;24620.090909090908;12407.692307692309;24645;51.90714285714286;1013.2399999999999;20.267142857142858
2025-11-09 03:00:00;12632;24681.1;12750.444444444445;24676;11878.625;24647;11246.5;24667.833333333332;2817;24619.85714285714;12407.833333333334;24645;53.007692307692295;1012.9892307692305;19.378461538461536
2025-11-09 05:00:00;12632.4;24681;12751;24676;11878;24647;11246.777777777777;24667.636363636364;2817;24619.7;12407;24645;54.56153846153847;1013.7646153846152;18.063076923076924
2025-11-09 07:00:00;12632.166666666666;24681.18181818182;12751;24676;11879.6;24647.9;11246.272727272728;24668;2817;24620.5;12407.636363636364;24645.25;54.88333333333333;1014.8408333333333;18.755
2025-11-09 09:00:00;12631.846153846154;24681.30769230769;12752.416666666666;24675.384615384617;11883.384615384615;24648.1;11247.166666666666;24667.76923076923;2817;24620;12412.416666666666;24646.076923076922;53.65454545454545;1015.1681818181817;21.955454545454547
2025-11-09 11:00:00;12631.636363636364;24680.6;12754.222222222223;24674.64285714286;11885.785714285714;24647;11246.57142857143;24667.2;2817;24619.88888888889;12415.5;24645.777777777777;46.87333333333333;1015.1679999999999;26.27466666666667
2025-11-09 13:00:00;12632.764705882353;24680.9;12754.5;24675.7;11885.8125;24647.23076923077;11247.8;24667.35714285714;2817;24619.333333333332;12416;24645.090909090908;38.46666666666666;1014.5513333333333;30.65
2025-11-09 15:00:00;12633.142857142857;24682.14285714286;12754.272727272728;24676;11884.625;24646.9;11248.5;24669.1;2817;24620.222222222223;12414.888888888889;24645.363636363636;30.945454545454538;1013.3027272727275;34.58818181818182
2025-11-09 17:00:00;12633.307692307691;24682.454545454544;12753.5;24676.266666666666;11882.615384615385;24647.6;11247.75;24670.75;2817;24621.090909090908;12411.5;24645.69230769231;28.46428571428572;1012.3921428571429;35.45428571428571
2025-11-09 19:00:00;12633.727272727272;24682;12751.75;24678.3;11879;24648;11246.615384615385;24671;2817;24621;12409;24646.11111111111;28.577777777777776;1012.6544444444444;32.60444444444445
2025-11-09 21:00:00;12633.76923076923;24682.3;12749.818181818182;24676.64285714286;11878.75;24647.090909090908;11246.916666666666;24670.2;2817;24621.363636363636;12409;24646;34.23636363636363;1013.7090909090912;28.48818181818182
2025-11-09 23:00:00;12633;24682;12749.9;24677;11878.8;24647;11247.09090909091;24668.666666666668;2817;24620;12407.545454545454;24645.375;39.39;1014.324;25.627999999999997
2025-11-10 01:00:00;12633;24681.4;12749;24676.14285714286;11878;24647.75;11246.57142857143;24668;2817;24620.75;12407.727272727272;24645.53846153846;40.900000000000006;1014.6754545454547;23.846363636363638
2025-11-10 03:00:00;12633;24681.5;12749.142857142857;24675.69230769231;11878;24647.5;11247;24668;2817;24621;12408;24646;41.825;1014.6533333333335;22.3125
2025-11-10 05:00:00;12632.466666666667;24681.4;12749.64705882353;24675.545454545456;11878.875;24647;11246.222222222223;24668.571428571428;2817;24620.333333333332;12407.307692307691;24645.785714285714;43.38666666666667;1014.7073333333334;20.70266666666667
2025-11-10 07:00:00;12631.857142857143;24681.1;12750.363636363636;24676;11878.285714285714;24647.1;11246.1;24668.545454545456;2817;24620;12408;24645.9;43.84615384615385;1015.736923076923;21.050000000000004
2025-11-10 09:00:00;12632.166666666666;24681;12752.07142857143;24675.545454545456;11884.166666666666;24647.444444444445;11247;24668.571428571428;2817;24620.69230769231;12412.6;24646.555555555555;41.14;1016.073;24.770000000000003
2025-11-10 11:00:00;12632.1;24681.2;12754.545454545454;24675.8;11884.57142857143;24647.875;11247.25;24668;2817;24620;12415.083333333334;24646.18181818182;35.14;1015.3520000000001;29.612000000000002
2025-11-10 13:00:00;12632.357142857143;24681.30769230769;12754.666666666666;24676.30769230769;11885.09090909091;24647.14285714286;11247.9;24669.1;2817;24620.153846153848;12415.5;24645.9;29.04545454545455;1013.7500000000001;33.76090909090908
2025-11-10 15:00:00;12632.7;24681.1;12754.333333333334;24676.454545454544;11883;24647.25;11248.75;24669.25;2817;24620.875;12415;24645.714285714286;24.58888888888889;1011.6544444444444;37.17777777777778
2025-11-10 17:00:00;12632.1875;24682.5;12754.285714285714;24677.416666666668;11881.615384615385;24648.923076923078;11248.714285714286;24670;2817;24621.14285714286;12412.333333333334;24646.875;21.827272727272728;1010.2236363636366;38.97454545454546
2025-11-10 19:00:00;12633;24682.6;12752.444444444445;24678.428571428572;11880;24648.666666666668;11248.666666666666;24669.5;2817;24621.25;12410;24647;23.60909090909091;1010.1545454545453;35.07818181818182
2025-11-10 21:00:00;12633.75;24683.11111111111;12749.857142857143;24676.88888888889;11879;24648.333333333332;11247.777777777777;24670.7;2817;24622;12408.625;24646.25;28.977777777777778;1010.3422222222221;30.794444444444448
2025-11-10 23:00:00;12634;24682.14285714286;12749;24677;11878.2;24647.375;11247.833333333334;24670.125;2817;24621.14285714286;12408;24646.25;33.65;1009.8133333333334;27.89333333333333
2025-11-11 01:00:00;12632.7;24682;12748.625;24677;11876.555555555555;24647.428571428572;11247.375;24668.833333333332;2817;24620.444444444445;12407.666666666666;24645.571428571428;37.17777777777778;1009.1311111111112;25.906666666666666
2025-11-11 03:00:00;12633;24681.222222222223;12749.222222222223;24676.18181818182;11878.111111111111;24648;11246.8;24668.88888888889;2817;24621;12407.3;24646;40.708333333333336;1008.3616666666666;23.985833333333332
2025-11-11 05:00:00;12632.7;24682;12749;24676;11878.222222222223;24647.166666666668;11246.333333333334;24668.714285714286;2817;24621;12408;24646;43.392307692307696;1008.573846153846;22.449230769230773
